"Fraction_1" "Fraction_2" "Fraction_3" "Fraction_4" "Fraction_5" "Fraction_6" "Fraction_7" "Fraction_8" "Fraction_9" "Fraction_10" "Fraction_11" "Fraction_12" "Fraction_13" "Fraction_14" "Fraction_15" "Fraction_16" "Fraction_17" "Fraction_18" "Fraction_19" "Fraction_20" "Fraction_21" "Fraction_22" "Fraction_23" "Fraction_24" "Fraction_25"
"A16A1_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 89590.7510972118 208730.482431548 332358.82542039 423831.091275837 397030.955048771 616420.227321706 905604.241200623 1588374.95143328 1366265.35013663 1064182.64260796 810264.662298817 0 0 0 0 0
"A16A1_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 104640.989454982 205170.161125188 308013.390148144 461495.620796594 401727.019671571 562247.640527606 996233.323380861 1533179.17036106 1315286.04837154 953401.577483679 840492.031492588 0 0 0 0 0
"A16A1_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 123840.938882649 198569.698037009 321958.714655184 501299.288083185 416625.29400924 625535.367310303 846973.581381438 1444651.67976385 1092265.14727179 919760.658220699 665877.90838852 0 0 0 0 0
"A4_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 0 0 0 32019.7934179849 0 61917.6150451093 128840.083077179 0 73404.3666627902 0 0 0 0 0 0 0
"A4_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 0 0 0 39567.5931037192 0 61689.5364691975 103098.619692333 0 63172.1527246559 0 0 0 0 0 0 0
"A4_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 0 0 0 51090.2099121142 0 96577.1422549009 141573.967426952 0 74001.9955207632 0 0 0 0 0 0 0
"AAAS_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 0 0 0 42612.8884509697 65913.158761244 45793.6516308734 110736.021809732 0 0 0 0 0 0 0 0 0
"AAAS_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 0 0 0 52688.2286281263 66133.2002850222 57287.6199616374 77356.9729259385 0 0 0 0 0 0 0 0 0
"AAAS_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 0 0 0 64993.9409785123 66034.0257508888 46002.2938836162 109634.317030417 0 0 0 0 0 0 0 0 0
"AAAT_HUMAN_Rep_1" 0 0 0 0 0 0 0 106570.942915682 264540.910171298 440366.010839971 391858.4929649 669246.649510031 777673.367630839 813724.290287756 1018730.61099255 1468201.43924987 1174492.8893917 842688.923277926 874810.028702644 1301956.43562217 777256.316707814 268388.253287281 285426.466240937 626651.046988621 262618.00423886
"AAAT_HUMAN_Rep_2" 0 0 0 0 0 0 0 133318.440811594 337845.223142019 513985.328065226 588891.759868631 785156.862597935 1066214.0204611 943724.220678578 1134496.78651042 1567227.27958945 1035256.4053159 707578.522888643 672064.552801415 946536.448861112 433300.493539744 222525.247633735 214458.351621256 725396.795606632 255952.718367638
"AAAT_HUMAN_Rep_3" 0 0 0 0 0 0 0 173770.88301829 429207.487282397 518645.63265889 553826.582818994 799338.753939031 1097690.81936851 1178529.57424976 1621212.20493675 2027874.39131808 1499646.7045641 936569.063905682 969184.849169099 1500105.72118497 1373895.44840342 488413.867650971 512319.733176429 866295.749018737 346633.806739545
"AACS_HUMAN_Rep_1" 0 0 0 0 82452.7663565535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AACS_HUMAN_Rep_2" 0 0 0 0 22291.1369229025 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AACS_HUMAN_Rep_3" 0 0 0 0 39841.6247660471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAGAB_HUMAN_Rep_1" 0 72875.8266943087 124646.2621155 91749.174443867 0 41883.0755949314 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAGAB_HUMAN_Rep_2" 0 94476.7190239656 156651.63202673 77517.166150741 0 41953.5135960649 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAGAB_HUMAN_Rep_3" 0 167127.730940492 146898.165758942 69627.5270418624 0 41390.9486215644 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAKB1_HUMAN_Rep_1" 0 0 0 0 0 0 107312.894438998 75678.8117557552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAKB1_HUMAN_Rep_2" 0 0 0 0 0 0 98554.9815596975 58687.7917779172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAKB1_HUMAN_Rep_3" 0 0 0 0 0 0 91956.8525635404 63732.4060430238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAKG1_HUMAN_Rep_1" 0 0 0 0 0 58350.3042431274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAKG1_HUMAN_Rep_2" 0 0 0 0 0 23911.5538180184 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAKG1_HUMAN_Rep_3" 0 0 0 0 0 44647.4013591655 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAMDC_HUMAN_Rep_1" 0 109890.125893559 186354.686929043 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAMDC_HUMAN_Rep_2" 0 127959.139358169 189839.762975464 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAMDC_HUMAN_Rep_3" 0 275490.225552087 231650.743826762 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAMP_HUMAN_Rep_1" 0 0 0 70967.9393792536 131666.890387812 122749.536360099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAMP_HUMAN_Rep_2" 0 0 0 119376.846508909 124838.173589797 127353.496044572 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAMP_HUMAN_Rep_3" 0 0 0 79735.9862019344 104958.797674306 107450.987618716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAPK1_HUMAN_Rep_1" 0 0 0 0 11775.031774654 121570.800415101 193295.223262734 42735.1616782125 38849.0573574667 0 0 21896.4132900731 24353.9260300028 0 0 0 0 0 0 0 0 0 0 0 0
"AAPK1_HUMAN_Rep_2" 0 0 0 0 16876.9287547776 123477.695945505 221392.209046063 44892.1279651206 20316.2634097827 0 0 12597.5757178288 22224.9709006664 0 0 0 0 0 0 0 0 0 0 0 0
"AAPK1_HUMAN_Rep_3" 0 0 0 0 44892.0158727455 173301.189938649 229869.700719866 38659.9175708234 36070.9624454149 0 0 18420.7047826523 29586.0166686822 0 0 0 0 0 0 0 0 0 0 0 0
"AAR2_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 0 0 50484.4891109858 90999.7647246112 51613.747999315 84280.4807542273 50289.4643063726 34007.6822978061 46954.6642891238 34022.2951621844 27868.2241175461 27327.0035076982 0 0 0 38494.7130489337
