"Fraction_1" "Fraction_2" "Fraction_3" "Fraction_4" "Fraction_5" "Fraction_6" "Fraction_7" "Fraction_8" "Fraction_9" "Fraction_10" "Fraction_11" "Fraction_12" "Fraction_13" "Fraction_14" "Fraction_15" "Fraction_16" "Fraction_17" "Fraction_18" "Fraction_19" "Fraction_20" "Fraction_21" "Fraction_22" "Fraction_23" "Fraction_24" "Fraction_25"
"A16A1_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 36433.8278759626 147293.441684772 256980.596240954 292451.236596107 249322.722656407 342615.126642772 568958.76082274 1227502.78621165 1291747.25998073 934969.387448336 871550.141748126 0 0 0 0 0
"A16A1_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 85847.1040824165 157112.521962284 359509.168226452 319705.900398345 273660.662775892 511380.446009213 725762.018577712 1616706.8175621 1980877.35058395 1364692.12126576 775671.589638126 0 0 0 0 0
"A16A1_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 64527.4674239221 108088.039955002 220781.667822569 284995.734513721 240111.732499399 377664.277868503 645458.195356822 1286498.93197629 1276351.0764039 840343.882793602 712366.491354838 0 0 0 0 0
"A4_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 0 0 0 26396.225217572 0 45666.8141606768 78343.3526677235 0 92075.8810685706 0 0 0 0 0 0 0
"A4_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 0 0 0 37023.6265801994 0 56888.8158709719 107517.674041249 0 102206.566849591 0 0 0 0 0 0 0
"A4_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 0 0 0 39588.5090595791 0 55833.9749744559 77677.745908968 0 89284.3039928089 0 0 0 0 0 0 0
"AAAS_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 0 0 0 36234.1115810262 44833.5789045065 27742.8013548526 67296.1975166682 0 0 0 0 0 0 0 0 0
"AAAS_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 0 0 0 51783.5679748965 46327.0196097194 37061.0781008391 63721.8647310105 0 0 0 0 0 0 0 0 0
"AAAS_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 0 0 0 48009.6241458793 55326.0429570419 32872.4275519336 52804.1837312717 0 0 0 0 0 0 0 0 0
"AAAT_HUMAN_Rep_1" 0 0 0 0 0 0 0 68943.6402711063 213151.600513144 291571.110058147 265654.773692689 361234.371463324 514941.926759441 489851.48100585 585201.752158166 1025566.01007172 954783.177723344 692220.549991325 647438.277291662 1078108.0455203 671942.207464724 236104.3867728 441511.996690402 807824.386216922 348427.450825576
"AAAT_HUMAN_Rep_2" 0 0 0 0 0 0 0 66364.8515836657 200919.402428052 321169.957163911 365852.781349889 484255.469410512 649870.627193772 603756.013008038 932456.164847718 1172630.13646174 1222171.47183602 990230.530896104 837950.732552 960001.457509486 832218.597535369 330022.475423354 677958.094873174 1330315.23721892 426782.902082097
"AAAT_HUMAN_Rep_3" 0 0 0 0 0 0 0 90123.658382421 258230.783579295 402577.110643406 426400.023837371 541577.688397523 654402.061178361 707472.786291601 806980.385056169 1369594.19790681 1283334.79667205 908625.725103037 795472.460124662 1302495.07683816 998990.823856855 313172.014303257 556047.054832196 723858.315988832 188495.059365622
"AACS_HUMAN_Rep_1" 0 0 0 0 12970.823599468 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AACS_HUMAN_Rep_2" 0 0 0 0 31640.7659750445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AACS_HUMAN_Rep_3" 0 0 0 0 24048.5662267903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAGAB_HUMAN_Rep_1" 0 0 92635.3445089877 24201.1864412425 0 40198.8542992005 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAGAB_HUMAN_Rep_2" 0 76513.811305427 110543.680277962 11043.9411328877 0 32821.7600730392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAGAB_HUMAN_Rep_3" 0 83697.4297428544 110817.473939802 47311.2330000356 0 20504.7378284901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAKB1_HUMAN_Rep_1" 0 0 0 0 0 0 70535.2336513166 60203.3631774139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAKB1_HUMAN_Rep_2" 0 0 0 0 0 0 78756.4276688825 40952.1947266629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAKB1_HUMAN_Rep_3" 0 0 0 0 0 0 60045.6055774441 48245.9726282804 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAKG1_HUMAN_Rep_1" 0 0 0 0 0 26864.9850615854 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAKG1_HUMAN_Rep_2" 0 0 0 0 0 29220.426188035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAKG1_HUMAN_Rep_3" 0 0 0 0 0 36238.7503291145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAMDC_HUMAN_Rep_1" 0 0 132733.558432833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAMDC_HUMAN_Rep_2" 0 82272.4770024519 111782.85978835 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAMDC_HUMAN_Rep_3" 0 134321.773697938 109859.663845352 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAMP_HUMAN_Rep_1" 0 0 0 34570.1511173318 71035.5634629311 75762.8163631064 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAMP_HUMAN_Rep_2" 0 0 0 16987.6053010972 80018.1258054382 73262.2083927121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAMP_HUMAN_Rep_3" 0 0 0 55831.1811834445 70545.9106096985 73733.2029416045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAPK1_HUMAN_Rep_1" 0 0 0 0 9816.43958296699 68291.598724834 111433.147599911 29951.5495563321 21870.6443697753 0 0 11756.9580187241 16169.6691517134 0 0 0 0 0 0 0 0 0 0 0 0
"AAPK1_HUMAN_Rep_2" 0 0 0 0 12413.4095010634 146095.865571551 189004.887852703 43561.2110729127 38914.7210927407 0 0 16709.9841653316 16266.878807531 0 0 0 0 0 0 0 0 0 0 0 0
"AAPK1_HUMAN_Rep_3" 0 0 0 0 17691.0975506147 113725.958051945 123818.12253231 17025.7721838828 19454.8192005277 0 0 7826.10563672367 19187.4250816997 0 0 0 0 0 0 0 0 0 0 0 0
"AAR2_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 0 0 40835.7630334763 83008.7435849181 45706.9603117372 60901.5735002691 46125.9353812163 36594.6328716968 35381.8779965937 33902.8828082735 25179.7615602622 48020.8497974547 0 0 0 39624.4792999585
