Diederichs Lab - RNA Biology & Cancer 
 German Cancer Research Center (DKFZ) - Heidelberg - Germany 
 http://r-deep.dkfz.de 
 Caudron-Herger et al. 2019 Molecular Cell 75 1-16 
 June 30 2022 
 
"Entry_Name","Uniprot_ID","Gene_Name","Times_Listed_as_RBP","R_DeeP_shift","Baltz_2012","Castello_2012","Beckmann_2015","Castello_2016","Conrad_2016","Mullari_2017","Bao_2018","Perez_Perri_2018","Trendel_2018","Gene_Ontology_RNA_Binding","Cook_2011","Kwon_2013","Ray_2013","Gerstberger_2014","He_2016","Hendrickson_2016","Sundararaman_2016","Brannan_2016","Treiber_2017"
"CSTF2_HUMAN","P33240","CSTF2",18,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"
"HNRH1_HUMAN","P31943","HNRNPH1",18,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"
"HNRPL_HUMAN","P14866","HNRNPL",18,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"
"IF2B1_HUMAN","Q9NZI8","IGF2BP1",18,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"
"RBM10_HUMAN","P98175","RBM10",18,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"
"RBM45_HUMAN","Q8IUH3","RBM45",18," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"
"SAFB1_HUMAN","Q15424","SAFB",18,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"
"SF01_HUMAN","Q15637","SF1",18,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"
"SFPQ_HUMAN","P23246","SFPQ",18,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"
"TRA2B_HUMAN","P62995","TRA2B",18,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"
"CELF1_HUMAN","Q92879","CELF1",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X"
"ELAV1_HUMAN","Q15717","ELAVL1",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," "
"FUS_HUMAN","P35637","FUS",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X"
"G3BP2_HUMAN","Q9UN86","G3BP2",17,"X","X","X","X"," ","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"
"GRSF1_HUMAN","Q12849","GRSF1",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X","X"
"HNRDL_HUMAN","O14979","HNRNPDL",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "
"HNRH2_HUMAN","P55795","HNRNPH2",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X"
"HNRPC_HUMAN","P07910","HNRNPC",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "
"HNRPF_HUMAN","P52597","HNRNPF",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X","X"
"HNRPK_HUMAN","P61978","HNRNPK",17,"X","X","X","X","X","X"," ","X","X","X","X","X","X","X","X","X"," ","X","X","X"
"HNRPM_HUMAN","P52272","HNRNPM",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X"
"HNRPQ_HUMAN","O60506","SYNCRIP",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X","X"
"HNRPR_HUMAN","O43390","HNRNPR",17,"X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"," ","X","X","X"
"IF2B2_HUMAN","Q9Y6M1","IGF2BP2",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X","X"
"IF2B3_HUMAN","O00425","IGF2BP3",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X","X"
"MSI2H_HUMAN","Q96DH6","MSI2",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X","X"
